"","name","fit"
"1","A.J. Lawson",NA
"2","A.J. Lawson",NA
"3","Aaron Gordon",36.2068568953084
"4","Aaron Holiday",7.53438759501079
"5","Aaron Nesmith",20.3230424889555
"6","Aaron Wiggins",16.0239127932432
"7","Admiral Schofield",7.0413867581179
"8","AJ Green",10.9129266779525
"9","AJ Griffin",13.9854481972778
"10","Al Horford",27.0022449616393
"11","Alec Burks",22.9730238340715
"12","Aleksej Pokusevski",NA
"13","Alex Caruso",20.9377139978206
"14","Alex Len",2.98136320291807
"15","Alize Johnson",NA
"16","Alondes Williams",NA
"17","Alperen Sengun",35.2896766577695
"18","Amir Coffey",8.7320861861335
"19","Andre Drummond",21.0556048153338
"20","Andre Iguodala",NA
"21","Andrew Nembhard",18.980458431788
"22","Andrew Wiggins",NA
"23","Anfernee Simons",NA
"24","Anthony Davis",56.3172962631363
"25","Anthony Edwards",42.4118573613948
"26","Anthony Gill",8.07223270745789
"27","Anthony Lamb",16.7569195624272
"28","Austin Reaves",24.4037687926396
"29","Austin Rivers",11.1048495519317
"30","Ayo Dosunmu",20.8390068184383
"31","Bam Adebayo",42.7960170932898
"32","Ben Simmons",NA
"33","Bennedict Mathurin",25.3258862701292
"34","Bismack Biyombo",NA
"35","Blake Griffin",12.2935133428376
"36","Blake Wesley",12.7972412292028
"37","Boban Marjanovic",9.74940738623232
"38","Bobby Portis",29.9776222257874
"39","Bogdan Bogdanovic",29.1499265638736
"40","Bojan Bogdanovic",30.2044726870677
"41","Bol Bol",20.0852496587423
"42","Bones Hyland",18.371869589388
"43","Bones Hyland",18.371869589388
"44","Bradley Beal",43.002676812167
"45","Brandon Boston Jr.",NA
"46","Brandon Clarke",24.5361938480816
"47","Brandon Ingram",39.4114749897399
"48","Braxton Key",NA
"49","Brook Lopez",35.2270303702809
"50","Bruce Brown",24.9046496393827
"51","Bruno Fernando",13.2692903172599
"52","Bruno Fernando",13.2692903172599
"53","Bryce McGowens",8.99652206454852
"54","Bryn Forbes",NA
"55","Buddy Boeheim",NA
"56","Buddy Hield",31.8609221161729
"57","Cade Cunningham",NA
"58","Caleb Houstan",NA
"59","Caleb Martin",24.1435304074249
"60","Cam Reddish",20.0354026355356
"61","Cam Reddish",20.0354026355356
"62","Cam Thomas",23.2237883268504
"63","Cameron Johnson",28.0424212008588
"64","Cameron Johnson",28.0424212008588
"65","Cameron Payne",19.2756249688405
"66","Caris LeVert",23.2210111886963
"67","Carlik Jones",NA
"68","Cedi Osman",16.5508234116163
"69","Charles Bassey",23.2926708394958
"70","Chima Moneke",NA
"71","Chimezie Metu",14.9812836788456
"72","Chris Boucher",23.2320068182338
"73","Chris Duarte",12.5744982408578
"74","Chris Paul",38.5346529419822
"75","Chris Silva",NA
"76","Christian Braun",13.1877651200193
"77","Christian Koloko",10.3342177622063
"78","Christian Wood",31.7919065154456
"79","Chuma Okeke",NA
"80","CJ McCollum",35.3698678286945
"81","Clint Capela",36.0926988311429
"82","Coby White",19.3999337240992
"83","Cody Martin",NA
"84","Cody Zeller",16.7898672625562
"85","Cole Anthony",25.7609649421927
"86","Cole Swider",NA
"87","Collin Sexton",NA
"88","Corey Kispert",16.8995510657927
"89","Cory Joseph",13.5159883616071
"90","D'Angelo Russell",31.081477821401
"91","D'Angelo Russell",31.081477821401
"92","Daishen Nix",14.4220102970169
"93","Dalano Banton",7.93082215250374
"94","Dalen Terry",8.49434294457417
"95","Damian Jones",9.35018316368588
"96","Damian Jones",9.35018316368588
"97","Damian Lillard",61.4863670684895
"98","Damion Lee",16.2508547323709
"99","Daniel Gafford",27.1557084641611
"100","Daniel Theis",17.3750686611018
"101","Danny Green",6.62343405505566
"102","Danny Green",6.62343405505566
"103","Danuel House Jr.",NA
"104","Dario Saric",16.2735664115661
"105","Dario Saric",16.2735664115661
"106","Darius Bazley",NA
"107","Darius Days",6.75931315035474
"108","Darius Garland",43.7138846054996
"109","David Duke Jr.",6.90610050234021
"110","David Roddy",10.6883717499587
"111","Davion Mitchell",13.9864187866341
"112","Davis Bertans",NA
"113","Davon Reed",6.42784528631906
"114","Davon Reed",6.42784528631906
"115","Day'Ron Sharpe",14.1618945989661
"116","De'Aaron Fox",51.9667074814867
"117","De'Andre Hunter",25.3514997690927
"118","De'Anthony Melton",21.7552571845716
"119","Dean Wade",14.1747045993953
"120","Deandre Ayton",43.6706310712854
"121","DeAndre Jordan",NA
"122","Dejounte Murray",41.7047108294223
"123","Delon Wright",25.5379174905229
"124","DeMar DeRozan",40.6247231127513
"125","Deni Avdija",25.1225718786775
"126","Dennis Schroder",26.1516982266738
"127","Dennis Smith Jr.",23.2357630754914
"128","Deonte Burton",NA
"129","Dereon Seabron",NA
"130","Derrick Jones Jr.",10.6813457696919
"131","Derrick Rose",4.69881895396628
"132","Derrick White",31.6866982898327
"133","Desmond Bane",38.1904979633197
"134","Devin Booker",41.3106407641562
"135","Devin Vassell",NA
"136","Devon Dotson",NA
"137","Devonte' Graham",17.2952410266161
"138","Devonte' Graham",17.2952410266161
"139","Dewayne Dedmon",NA
"140","Dillon Brooks",20.0278068280027
"141","Domantas Sabonis",54.3444999840442
"142","Dominick Barlow",10.3890598543951
"143","Donovan Mitchell",45.2570478556355
"144","Donte DiVincenzo",28.0770330221805
"145","Dorian Finney-Smith",19.1472564200793
"146","Dorian Finney-Smith",19.1472564200793
"147","Doug McDermott",15.5344958017174
"148","Draymond Green",36.2467921692981
"149","Drew Eubanks",22.6167852402957
"150","Dru Smith",11.0834401432101
"151","Dru Smith",11.0834401432101
"152","Duane Washington Jr.",NA
