namePlayer,games,mean_fpts,sd_fpts
Aaron Gordon,27,35.65555556,16.28558431
Aaron Holiday,28,11.96071429,10.80114326
Aaron Nesmith,28,18.17857143,12.95574682
Aaron Wiggins,24,15.59166667,11.83465496
Admiral Schofield,22,9.731818182,8.37924797
AJ Griffin,28,18.37142857,13.35827825
Al Horford,23,27.94347826,12.06790733
Alec Burks,21,22.15238095,11.42018472
Aleksej Pokusevski,29,22.26551724,15.64392342
Alex Caruso,30,20.71666667,9.977287425
Alperen Sengun,28,33.76785714,13.4233642
Amir Coffey,27,7.640740741,8.168620035
Andre Drummond,24,18.83333333,12.87892335
Andrew Nembhard,27,21.64444444,15.55163443
Andrew Wiggins,22,37.06818182,17.2093105
Anfernee Simons,30,35.79666667,18.04067212
Anthony Davis,25,62.248,22.88646106
Anthony Edwards,32,42.046875,17.98409664
Anthony Gill,26,6.726923077,6.52107707
Anthony Lamb,25,13.996,10.75869726
Austin Reaves,29,21.94137931,12.42996142
Austin Rivers,22,11.66818182,15.14571718
Ayo Dosunmu,29,19.97241379,11.53667743
Bam Adebayo,29,44.34827586,12.66580381
Ben Simmons,22,31.60909091,13.63758494
Bennedict Mathurin,32,24.65625,12.79145222
Bismack Biyombo,26,13.82307692,10.21028139
Bobby Portis,31,31.68709677,10.81532067
Bojan Bogdanovic,33,32.00606061,15.52244221
Bol Bol,33,29.93636364,13.85940155
Bones Hyland,22,22.87272727,17.95640705
Bradley Beal,20,41.765,13.75726698
Brandon Clarke,30,22.8,11.16700806
Brandon Ingram,15,39.54666667,14.78178738
Brook Lopez,30,33.79666667,14.20853273
Bruce Brown,30,28.53666667,14.14387849
Bryn Forbes,18,5.311111111,8.593149727
Buddy Hield,32,30.48125,14.84390692
Caleb Houstan,21,8.585714286,6.311678518
Caleb Martin,29,23.76551724,14.44000583
Cam Reddish,20,14.335,15.92317989
Cam Thomas,24,11.24583333,14.68951058
Cameron Payne,26,26.13846154,15.44572632
Caris LeVert,29,23.11034483,17.60035196
Cedi Osman,32,16.009375,14.45688494
Charles Bassey,20,19.34,12.76048176
Chimezie Metu,24,11.74166667,8.123017038
Chris Boucher,28,22.725,13.05715711
Chris Paul,18,37.97777778,14.77607588
Christian Braun,28,7.696428571,8.543114279
Christian Koloko,31,12.07419355,8.605733273
Christian Wood,29,32.98965517,15.144031
Chuma Okeke,18,14.5,12.0328472
CJ McCollum,27,34.52222222,15.8169659
Clint Capela,26,37.24615385,11.78762846
Coby White,23,14.77391304,10.09199581
Cole Anthony,16,26.83125,12.77250791
Collin Sexton,27,23.95555556,11.00378723
Corey Kispert,24,17.5375,13.37781462
Cory Joseph,28,11.45,8.686068027
D'Angelo Russell,30,34.33,17.02594673
Daishen Nix,28,10.90357143,8.286467422
Dalano Banton,22,11.05454545,13.06193041
Damian Jones,17,9.329411765,8.905810232
Damian Lillard,20,47.88,18.84025925
Damion Lee,32,16.603125,9.962946979
Daniel Gafford,32,17.903125,11.99826558
Danuel House Jr.,25,10.356,8.319809693
Dario Saric,15,9,9.650166542
Darius Bazley,21,16.19047619,11.10837093
Darius Garland,27,40.48518519,18.40720393
David Roddy,30,11.03666667,9.105416476
Davion Mitchell,29,13.27586207,10.19547011
Davon Reed,21,4.738095238,6.404801027
Day'Ron Sharpe,17,10.84705882,11.57848855
De'Aaron Fox,27,42.34074074,18.13043042
De'Andre Hunter,27,22.54444444,9.688745784
De'Anthony Melton,27,28.7,15.68671658
Dean Wade,17,16.28823529,11.72310125
Deandre Ayton,28,39.53571429,18.50635955
DeAndre Jordan,24,15.7,8.979396707
Dejounte Murray,27,41.51481481,17.20524749
DeMar DeRozan,31,44.77741935,15.15191318
Deni Avdija,32,22.046875,14.09097136
Dennis Schroder,18,18.43333333,14.62170023
Dennis Smith Jr.,15,28.85333333,14.0872722
Derrick Jones Jr.,25,12.904,10.8748364
Derrick Rose,23,11.07826087,9.844424196
Derrick White,32,22.725,14.34779965
Devin Booker,28,47.39642857,22.34372034
Devin Vassell,25,33.204,15.20543982
Devonte' Graham,30,11.51,11.72046104
Dewayne Dedmon,26,13.36153846,9.184860453
Dillon Brooks,27,26.67407407,14.49781396
Domantas Sabonis,30,52.27333333,12.65510483
Donovan Mitchell,29,49.10344828,17.92393617
Donte DiVincenzo,23,18.06956522,12.4368746
Dorian Finney-Smith,31,17.60645161,11.06152297
Doug McDermott,26,16.82692308,11.0644135
Draymond Green,29,29.95862069,13.65750754
Drew Eubanks,30,17.95666667,9.331470052
Duane Washington Jr.,16,5.5875,10.71857422
Duncan Robinson,23,10.09565217,9.899792388
Dwight Powell,27,14.26296296,7.443383647
Dyson Daniels,22,16.21363636,11.97494589
Edmond Sumner,27,14.45185185,11.65488905
Eric Gordon,27,18.84444444,11.83509557
Eugene Omoruyi,15,11.44666667,14.34920937
Evan Mobley,33,36.76060606,11.42021069
Franz Wagner,33,32.43939394,12.03793326
Fred VanVleet,26,37.06923077,20.94957316
Furkan Korkmaz,17,7.541176471,9.319539878
Gabe Vincent,19,16.11052632,10.51717615
Garrison Mathews,24,9.179166667,9.938505669
Gary Trent Jr.,25,24.552,14.22665105
George Hill,29,12.35862069,8.911249601
Georges Niang,28,16.22857143,11.51574951
Giannis Antetokounmpo,26,58.75384615,15.78493537
Goga Bitadze,16,10.35625,12.12055932
Goran Dragic,29,14.92413793,10.92456783
Gordon Hayward,15,28.50666667,11.81448667
Grant Williams,31,22.12258065,10.9383335
Grayson Allen,28,22.53928571,13.88877349
Hamidou Diallo,27,11.82222222,7.933489548
Harrison Barnes,30,26.1,12.58633632
Haywood Highsmith,21,12.70952381,14.40558589
Herbert Jones,22,21.22727273,10.56603642
Immanuel Quickley,32,21.546875,14.43640078
Isaac Okoro,33,9.909090909,9.920413412
Isaiah Hartenstein,32,19.921875,8.783258796
Isaiah Jackson,27,18.93703704,12.47379247
Isaiah Joe,25,13.576,12.41569168
Isaiah Livers,22,11.35909091,8.324356637
Isaiah Roby,25,10.6,8.35498853
Isaiah Stewart,27,26.74074074,11.13726452
Ish Wainright,15,9.72,9.939473973
Ivica Zubac,31,31.08387097,17.99463062
Ja Morant,25,49.976,18.50050179
Jabari Smith Jr.,30,23.40666667,13.37836476
Jabari Walker,17,4.964705882,4.848187957
Jaden Ivey,30,27.11333333,12.23651216
Jaden McDaniels,29,23.8,13.66565037
Jake LaRavia,19,10.51052632,10.09008836
Jakob Poeltl,23,34.26086957,15.24230772
Jalen Brunson,32,38.571875,14.27373483
Jalen Duren,31,23.33870968,10.60338554
Jalen Green,31,30.54193548,14.36005511
Jalen Johnson,30,12.28,9.207508181
Jalen McDaniels,32,23.875,11.56730654
Jalen Smith,31,21.98709677,14.58297505
Jalen Williams,28,21.425,10.58967439
Jamal Murray,25,31.576,12.52747913
James Bouknight,23,8.465217391,10.05302346
James Harden,16,51.2,17.63383112
James Wiseman,16,15.21875,13.12626978
JaMychal Green,28,13.15,9.840788135
Jarred Vanderbilt,32,28.5375,12.38820329
Jarrett Allen,26,37.68076923,13.67175246
JaVale McGee,20,9.595,7.523260421
Javonte Green,25,15.604,11.72630519
Jaylen Brown,30,44.66333333,14.01692286
Jaylen Nowell,32,18.359375,13.37749336
Jayson Tatum,30,54.29,15.96607071
Jeff Green,23,14.35217391,6.127499087
Jerami Grant,30,36.71,14.73071738
Jeremiah Robinson-Earl,26,19.72307692,10.43951369
Jeremy Sochan,25,16.288,10.48889572
Jericho Sims,24,13.475,10.97250516
Jevon Carter,31,20.99032258,14.64223013
Jimmy Butler,20,48.83,14.31903775
Jock Landale,27,14.32222222,9.462896505
Joe Harris,29,16.77241379,12.77488878
Joel Embiid,22,63.72727273,20.25800681
John Collins,24,28.82916667,14.69097561
John Konchar,28,21.325,12.68190969
John Wall,26,23.66923077,9.671267517
Jonas Valanciunas,31,30.6,19.68373271
Jonathan Kuminga,29,14.05517241,13.91239391
Jordan Clarkson,33,31.28181818,14.24573301
Jordan Goodwin,25,22.8,13.85252685
Jordan McLaughlin,18,13.91666667,11.81107407
Jordan Nwora,25,11.468,10.35236366
Jordan Poole,33,28.21212121,16.72322034
Jose Alvarado,29,20.04137931,15.08136308
Josh Christopher,18,5.127777778,5.100381249
Josh Giddey,27,34.71481481,14.66037841
Josh Green,25,15.544,11.79802526
Josh Hart,30,30.26333333,10.41535615
Josh Okogie,27,10.95925926,14.18087171
Josh Richardson,21,19.10952381,13.80626324
Jrue Holiday,24,42.44583333,16.10903012
JT Thor,21,4.904761905,6.09314994
Juancho Hernangomez,21,12.36666667,8.963332714
Julius Randle,32,41.315625,15.06251723
Justin Holiday,23,7.817391304,8.198650231
Justise Winslow,29,20.63448276,10.99344856
Jusuf Nurkic,28,36.49285714,12.97801356
Kai Jones,22,7.763636364,7.177580535
Karl-Anthony Towns,21,44.05714286,17.06275392
Keegan Murray,28,20.98928571,13.07132398
Keita Bates-Diop,25,16.156,10.31924093
Keldon Johnson,27,30.66296296,16.28083224
Kelly Olynyk,32,30.084375,13.51902147
Kelly Oubre Jr.,32,31.753125,13.03278705
Kendrick Nunn,26,6.3,10.45252123
Kenrich Williams,24,17.425,9.286701572
Kentavious Caldwell-Pope,29,23.60344828,9.560614249
Kenyon Martin Jr.,31,21.41612903,11.79412557
Kevin Durant,31,57.33548387,11.73617054
Kevin Huerter,29,28.68965517,15.39534588
Kevin Knox II,27,11.64444444,12.86406244
Kevin Love,25,21.484,16.55266041
Kevin Porter Jr.,30,36.23333333,12.94567784
Kevon Harris,25,7.744,7.662466966
Kevon Looney,33,25.43333333,11.09672437
Khem Birch,18,6.233333333,4.732366651
Killian Hayes,34,21.88529412,14.91310451
Klay Thompson,26,26.95,16.95877944
Kristaps Porzingis,29,44.65517241,15.71376981
Kyle Anderson,25,23.128,12.79102941
Kyle Kuzma,31,37.15806452,13.56281127
Kyle Lowry,28,32.68571429,14.84302341
Kyrie Irving,22,44.50909091,17.03310248
KZ Okpala,19,5.263157895,6.732360534
Lamar Stevens,17,14.68823529,11.32595925
Landry Shamet,23,14.32608696,11.64162662
Larry Nance Jr.,27,26.01481481,15.6582174
Lauri Markkanen,31,43.41612903,16.18995773
LeBron James,23,51.94347826,13.42249896
Lonnie Walker IV,28,24.68214286,13.06051594
Luguentz Dort,31,24.26451613,13.21341612
Luka Doncic,29,64.33793103,16.19094575
Luke Kennard,21,17.76666667,9.02199165
Luke Kornet,27,13.64074074,11.35399825
Malachi Flynn,20,11.885,10.33798693
Malaki Branham,16,9.64375,9.665193135
Malcolm Brogdon,27,28.58888889,11.26288436
Malik Beasley,34,22.96470588,14.7465226
Malik Monk,30,24.23666667,15.29431906
Marcus Morris Sr.,30,25.04666667,10.22669709
Marcus Smart,28,30.825,15.39975048
MarJon Beauchamp,20,11.06,14.3891187
Markieff Morris,19,10.63157895,11.35278001
Marvin Bagley III,21,24.04761905,12.93942112
Mason Plumlee,32,32.378125,9.743773343
Matisse Thybulle,26,7.134615385,8.817026361
Matt Ryan,17,3.917647059,5.951075039
Max Christie,15,8.673333333,7.500139681
Max Strus,30,20.65666667,14.60976724
Maxi Kleber,22,15.90454545,8.735394737
Michael Porter Jr.,16,29.3875,15.48353426
Mikal Bridges,32,33.08125,15.91372784
Mike Conley,23,27.13478261,12.87254332
Mike Muscala,22,12.30909091,10.95453414
